,movie ids,beginning,after 10k,after 20k,after 30k
0,0.0,0.024193548387096774,0.025623116011118875,0.02725315807565193,0.02820976394416137
1,1.0,0.038306451612903226,0.03172605392423183,0.02950326929077765,0.028198806742810223
2,2.0,0.016129032258064516,0.09792707021332275,0.13808537925772815,0.16165266929100625
3,3.0,0.006048387096774193,0.004658748365657973,0.004955119650118528,0.0051290479898475376
4,4.0,0.0020161290322580645,0.0,0.0,0.0
5,5.0,0.0,0.07317046793067684,0.10920921612108052,0.1303589022321256
6,6.0,0.0,0.06194751842731788,0.09260712780476245,0.11060001454972639
7,7.0,0.006048387096774193,0.051591082652431876,0.07438203442744867,0.08775712375260794
8,8.0,0.016129032258064516,0.02854883691983091,0.03545428784776188,0.03950681816344733
9,9.0,0.08064516129032258,0.2571492994073772,0.3426375964100248,0.39280722600485174
10,10.0,0.0846774193548387,0.19957169143622633,0.25552658994237937,0.2883642604832125
11,11.0,0.1431451612903226,0.3354815078950899,0.42849763552303555,0.4830850449469789
12,12.0,0.09475806451612903,0.31324537601727104,0.4188424646705673,0.48081313211600624
13,13.0,0.08669354838709678,0.28862385723592016,0.3862930140298965,0.44361109838758495
14,14.0,0.2439516129032258,0.34584233082296356,0.3954104281489917,0.42449994296866517
15,15.0,0.0967741935483871,0.23905463994992518,0.3081239677934579,0.34865796736729887
16,16.0,0.20766129032258066,0.2692244788852959,0.29949880559294173,0.317265585496258
17,17.0,0.10887096774193548,0.2948618786503281,0.3848698377409991,0.43769187451669317
18,18.0,0.11693548387096774,0.304179375381644,0.39478007704123613,0.44794997049638824
19,19.0,0.12903225806451613,0.26612194550849905,0.332672117434117,0.37172772612026156
20,20.0,0.38306451612903225,0.393319386267905,0.3988318921588714,0.4020669592778306
21,21.0,0.4274193548387097,0.5659775265537536,0.6329426182776163,0.6722417266393815
22,22.0,0.29435483870967744,0.4397860701771033,0.5101742502364854,0.5514822309221203
23,23.0,0.43548387096774194,0.6171260168884983,0.7047333685750391,0.7561465857989284
24,24.0,0.2963709677419355,0.38396016056979937,0.42662280696789645,0.4516597914718845
25,25.0,0.40725806451612906,0.6426700621190254,0.7560765341178575,0.8226302133151552
26,26.0,0.3225806451612903,0.540755273893532,0.6459818984412525,0.7077351554620303
27,27.0,0.48185483870967744,0.6482557240868472,0.7285130679187658,0.7756128623173761
28,28.0,0.39314516129032256,0.4569999321521689,0.4881930098416425,0.5064989675981186
29,29.0,0.3810483870967742,0.6695232133957124,0.8083879787297064,0.8898821023097242
30,30.0,0.34475806451612906,0.6377971594714807,0.7788847094389287,0.8616832955669139
31,31.0,0.532258064516129,0.7809696526344088,0.9006295587353584,0.9708531259009379
32,32.0,0.5766129032258065,0.577148850489397,0.5778156858794333,0.5782070246438237
33,33.0,0.7641129032258065,0.8651994190593228,0.9138784025319693,0.9424461323324559
34,34.0,1.0,1.0,1.0,1.0
35,35.0,0.5342741935483871,0.7067789165670629,0.7899110618582491,0.8386979611522306
36,36.0,0.6834677419354839,0.6506125434825525,0.6351715995621576,0.6261099330622774
37,37.0,0.5725806451612904,0.7224695182140819,0.7947248373655655,0.837128566591493
38,38.0,0.8104838709677419,0.736147028800639,0.7007010231791564,0.6798991937475696
39,39.0,0.8245967741935484,0.9014117960341157,0.9383989323347932,0.960105189132971
40,40.0,0.5786290322580645,0.7702683662293286,0.8625287470818997,0.9166726392395341
41,41.0,0.6149193548387096,0.8295416598436235,0.9327825967854584,0.9933705339300516
