,movie ids,beginning,after 10k,after 20k,after 30k
0,0.0,0.024193548387096774,0.024193548387096833,0.02419354838709677,0.02419354838709678
1,1.0,0.038306451612903226,0.0383064516129034,0.038306451612903566,0.03830645161290346
2,2.0,0.016129032258064516,0.016129032258064575,0.016129032258064516,0.01612903225806452
3,3.0,0.006048387096774193,0.006048387096774193,0.0060483870967741925,0.006048387096774195
4,4.0,0.0020161290322580645,0.0020161290322580645,0.0020161290322580645,0.002016129032258065
5,5.0,0.0,0.0,0.0,0.0
6,6.0,0.0,0.0,0.0,0.0
7,7.0,0.006048387096774193,0.006048387096774193,0.0060483870967741925,0.006048387096774195
8,8.0,0.016129032258064516,0.016129032258064575,0.016129032258064516,0.01612903225806452
9,9.0,0.08064516129032258,0.08064516129032252,0.08064516129032245,0.08064516129032237
10,10.0,0.0846774193548387,0.08467741935483877,0.08467741935483881,0.08467741935483873
11,11.0,0.1431451612903226,0.14314516129032265,0.14314516129032268,0.14314516129032262
12,12.0,0.09475806451612903,0.09475806451612909,0.09475806451612914,0.09475806451612906
13,13.0,0.08669354838709678,0.08669354838709695,0.08669354838709711,0.08669354838709702
14,14.0,0.2439516129032258,0.24395161290322587,0.2439516129032259,0.24395161290322587
15,15.0,0.0967741935483871,0.09677419354838704,0.09677419354838697,0.09677419354838689
16,16.0,0.20766129032258066,0.2076612903225807,0.20766129032258074,0.20766129032258068
17,17.0,0.10887096774193548,0.10887096774193565,0.10887096774193582,0.10887096774193573
18,18.0,0.11693548387096774,0.1169354838709678,0.11693548387096785,0.11693548387096776
19,19.0,0.12903225806451613,0.12903225806451618,0.12903225806451624,0.12903225806451615
20,20.0,0.38306451612903225,0.3830645161290322,0.3830645161290321,0.38306451612903214
21,21.0,0.4274193548387097,0.42741935483870974,0.42741935483870974,0.4274193548387098
22,22.0,0.29435483870967744,0.2943548387096775,0.2943548387096775,0.2943548387096775
23,23.0,0.43548387096774194,0.435483870967742,0.435483870967742,0.43548387096774205
24,24.0,0.2963709677419355,0.29637096774193555,0.29637096774193555,0.29637096774193555
25,25.0,0.40725806451612906,0.4072580645161291,0.4072580645161291,0.4072580645161291
26,26.0,0.3225806451612903,0.32258064516129037,0.3225806451612904,0.32258064516129037
27,27.0,0.48185483870967744,0.4818548387096774,0.48185483870967727,0.4818548387096773
28,28.0,0.39314516129032256,0.39314516129032273,0.3931451612903229,0.3931451612903229
29,29.0,0.3810483870967742,0.38104838709677424,0.38104838709677424,0.3810483870967743
30,30.0,0.34475806451612906,0.3447580645161291,0.3447580645161291,0.3447580645161291
31,31.0,0.532258064516129,0.532258064516129,0.5322580645161291,0.5322580645161291
32,32.0,0.5766129032258065,0.5766129032258065,0.5766129032258065,0.5766129032258066
33,33.0,0.7641129032258065,0.7641129032258065,0.7641129032258065,0.7641129032258064
34,34.0,1.0,1.0,1.0,1.0
35,35.0,0.5342741935483871,0.5342741935483871,0.5342741935483871,0.5342741935483872
36,36.0,0.6834677419354839,0.6834677419354839,0.6834677419354839,0.6834677419354838
37,37.0,0.5725806451612904,0.5725806451612904,0.5725806451612904,0.5725806451612905
38,38.0,0.8104838709677419,0.8104838709677419,0.810483870967742,0.8104838709677419
39,39.0,0.8245967741935484,0.8245967741935484,0.8245967741935484,0.8245967741935484
40,40.0,0.5786290322580645,0.5786290322580647,0.5786290322580648,0.5786290322580648
41,41.0,0.6149193548387096,0.6149193548387096,0.6149193548387097,0.6149193548387096
